time,e Jup calc,e Jup Runge-Kutta,e Jup Bulirsch-Stoer,e Sat calc,e Sat Runge-Kutta,e Sat Bulirsch-Stoer
0,0.048516265,0.048713153,0.048713153,0.058941532,0.051187419,0.051187419
10,0.048532204,0.04813655,0.048136015,0.05891264,0.054409787,0.054409727
20,0.048548134,0.047908972,0.047906684,0.058883727,0.057404047,0.057401047
30,0.048564056,0.048402041,0.048399426,0.058854793,0.055485698,0.055484885
40,0.048579969,0.048899175,0.048897246,0.058825839,0.054978196,0.054978032
50,0.048595874,0.048909775,0.048909295,0.058796864,0.053494816,0.053491735
60,0.048611769,0.048707595,0.0487063,0.058767869,0.050829072,0.050831618
70,0.048627656,0.048149818,0.048146584,0.058738852,0.053598841,0.053596522
80,0.048643535,0.047854346,0.047850045,0.058709816,0.056125283,0.056116674
90,0.048659404,0.048214008,0.048213528,0.058680758,0.055384684,0.055382951
100,0.048675265,0.048774807,0.048773306,0.058651681,0.055722614,0.055726899
110,0.048691118,0.048914622,0.048908453,0.058622582,0.053923748,0.053919713
120,0.048706961,0.048720215,0.048714203,0.058593463,0.051018597,0.051010218
130,0.048722796,0.048167074,0.048168506,0.058564323,0.053173771,0.053172022
140,0.048738622,0.047732195,0.047723274,0.058535163,0.055100391,0.055085962
150,0.048754439,0.048032253,0.048027202,0.058505982,0.055422541,0.055413282
160,0.048770247,0.048717045,0.04871472,0.058476781,0.056638111,0.05663406
170,0.048786047,0.048914013,0.048915618,0.058447559,0.054719245,0.054719486
180,0.048801837,0.048746622,0.048732083,0.058418317,0.051604857,0.051616145
190,0.048817619,0.048210141,0.048194212,0.058389054,0.052870937,0.052850316
200,0.048833392,0.047669411,0.047666601,0.058359771,0.054185983,0.054144174
210,0.048849157,0.047888032,0.047890116,0.058330467,0.055479285,0.055467224
220,0.048864912,0.048639674,0.048635113,0.058301142,0.057414548,0.057428732
230,0.048880659,0.048999052,0.04897737,0.058271798,0.05572247,0.055706397
240,0.048896396,0.04882037,0.048812191,0.058242432,0.05281121,0.052809918
250,0.048912125,0.048266468,0.048259576,0.058213046,0.053012209,0.053027087
260,0.048927845,0.047659502,0.047629461,0.05818364,0.053512106,0.053453564
270,0.048943556,0.047841577,0.047837264,0.058154214,0.055500592,0.055446965
280,0.048959258,0.048648562,0.048657084,0.058124767,0.057976033,0.057990193
290,0.048974951,0.049077146,0.049065904,0.058095299,0.056524247,0.056538461
300,0.048990635,0.048937091,0.048885942,0.058065811,0.054040317,0.054067308
310,0.049006311,0.048404682,0.048383606,0.058036303,0.053279195,0.053257992
320,0.049021977,0.047713009,0.047714953,0.058006774,0.053008357,0.052954398
330,0.049037634,0.047872542,0.047850769,0.057977225,0.055607945,0.055581101
340,0.049053282,0.048761938,0.048753273,0.057947656,0.058391388,0.058396625
350,0.049068922,0.049228277,0.049207437,0.057918066,0.057267839,0.057254146
360,0.049084552,0.049067538,0.049038029,0.057888456,0.055386556,0.055455044
370,0.049100173,0.048587898,0.048539266,0.057858825,0.053623137,0.053693676
380,0.049115786,0.04787563,0.047833751,0.057829174,0.05253677,0.052446339
390,0.049131389,0.047974692,0.047982417,0.057799503,0.055510255,0.055461437
400,0.049146983,0.04894054,0.048941812,0.057769812,0.058241162,0.058314999
410,0.049162568,0.049428333,0.049383236,0.0577401,0.057544137,0.057535471
420,0.049178144,0.049257042,0.049195509,0.057710368,0.056634762,0.056707105
430,0.049193711,0.04879854,0.048766889,0.057680616,0.054213076,0.054335838
440,0.049209269,0.048081234,0.048040131,0.057650843,0.05231369,0.05232337
450,0.049224818,0.048172684,0.048127116,0.05762105,0.055431588,0.055414687
460,0.049240358,0.049169697,0.049188774,0.057591237,0.057792494,0.057845259
